lat_grid,lon_grid,date,sst_celsius,sst_anomaly,quality_flag,data_source
0.0,117.0,2023-01-01,23.67,-0.434,1,MODIS_AQUA
1.0,99.0,2023-01-01,23.69,-0.716,1,MODIS_AQUA
1.0,107.0,2023-01-01,23.72,-0.69,1,MODIS_AQUA
2.0,97.0,2023-01-01,24.4,-0.309,1,MODIS_AQUA
2.0,98.0,2023-01-01,24.61,-0.094,1,MODIS_AQUA
2.0,112.0,2023-01-01,23.84,-0.871,2,MODIS_AQUA
3.0,114.0,2023-01-01,24.72,-0.292,1,MODIS_AQUA
3.0,117.0,2023-01-01,24.86,-0.143,1,MODIS_AQUA
4.0,105.0,2023-01-01,25.25,-0.053,1,MODIS_AQUA
4.0,107.0,2023-01-01,24.76,-0.549,1,MODIS_AQUA
4.0,110.0,2023-01-01,24.53,-0.774,2,MODIS_AQUA
5.0,97.0,2023-01-01,25.69,0.078,1,MODIS_AQUA
5.0,112.0,2023-01-01,24.9,-0.705,2,MODIS_AQUA
6.0,111.0,2023-01-01,25.32,-0.59,1,MODIS_AQUA
6.0,114.0,2023-01-01,25.94,0.035,1,MODIS_AQUA
6.0,121.0,2023-01-01,26.12,0.217,1,MODIS_AQUA
7.0,115.0,2023-01-01,25.7,-0.509,1,MODIS_AQUA
7.0,120.0,2023-01-01,24.95,-1.255,1,MODIS_AQUA
8.0,106.0,2023-01-01,26.7,0.192,1,MODIS_AQUA
8.0,111.0,2023-01-01,25.9,-0.603,2,MODIS_AQUA
8.0,118.0,2023-01-01,26.43,-0.075,1,MODIS_AQUA
9.0,106.0,2023-01-01,26.62,-0.184,2,MODIS_AQUA
10.0,99.0,2023-01-01,26.75,-0.354,1,MODIS_AQUA
10.0,114.0,2023-01-01,27.01,-0.096,2,MODIS_AQUA
10.0,115.0,2023-01-01,26.9,-0.206,2,MODIS_AQUA
11.0,114.0,2023-01-01,26.51,-0.295,1,MODIS_AQUA
11.0,119.0,2023-01-01,26.34,-0.468,1,MODIS_AQUA
12.0,95.0,2023-01-01,26.59,0.083,2,MODIS_AQUA
12.0,104.0,2023-01-01,26.07,-0.435,1,MODIS_AQUA
13.0,115.0,2023-01-01,25.35,-0.859,1,MODIS_AQUA
13.0,119.0,2023-01-01,26.14,-0.064,2,MODIS_AQUA
14.0,96.0,2023-01-01,25.42,-0.49,2,MODIS_AQUA
14.0,97.0,2023-01-01,25.88,-0.031,2,MODIS_AQUA
14.0,117.0,2023-01-01,25.3,-0.606,1,MODIS_AQUA
14.0,121.0,2023-01-01,25.4,-0.507,1,MODIS_AQUA
15.0,118.0,2023-01-01,25.06,-0.544,1,MODIS_AQUA
16.0,97.0,2023-01-01,24.62,-0.684,1,MODIS_AQUA
16.0,107.0,2023-01-01,25.05,-0.26,1,MODIS_AQUA
18.0,95.0,2023-01-01,24.43,-0.281,1,MODIS_AQUA
18.0,97.0,2023-01-01,25.07,0.362,2,MODIS_AQUA
18.0,105.0,2023-01-01,23.82,-0.889,1,MODIS_AQUA
18.0,109.0,2023-01-01,24.37,-0.338,1,MODIS_AQUA
18.0,111.0,2023-01-01,25.03,0.324,1,MODIS_AQUA
19.0,96.0,2023-01-01,24.47,0.06,1,MODIS_AQUA
19.0,104.0,2023-01-01,23.42,-0.985,1,MODIS_AQUA
19.0,111.0,2023-01-01,23.19,-1.215,1,MODIS_AQUA
20.0,111.0,2023-01-01,23.86,-0.245,1,MODIS_AQUA
17.75,100.5,2023-01-03,23.47,-1.332,1,MODIS_AQUA
17.75,100.75,2023-01-03,23.84,-0.959,1,MODIS_AQUA
18.0,100.5,2023-01-03,24.36,-0.37,2,MODIS_AQUA
18.0,100.75,2023-01-03,24.32,-0.41,2,MODIS_AQUA
18.0,101.0,2023-01-03,24.9,0.176,2,MODIS_AQUA
18.0,101.25,2023-01-03,23.73,-0.992,1,MODIS_AQUA
18.25,100.25,2023-01-03,24.34,-0.307,1,MODIS_AQUA
18.25,100.5,2023-01-03,24.06,-0.595,2,MODIS_AQUA
18.25,100.75,2023-01-03,24.52,-0.128,2,MODIS_AQUA
18.25,101.0,2023-01-03,24.28,-0.375,1,MODIS_AQUA
17.5,100.25,2023-01-04,24.46,-0.428,1,MODIS_AQUA
18.0,100.25,2023-01-04,24.39,-0.35,1,MODIS_AQUA
18.0,100.5,2023-01-04,24.42,-0.319,1,MODIS_AQUA
18.25,99.75,2023-01-04,23.99,-0.676,2,MODIS_AQUA
18.25,100.0,2023-01-04,24.32,-0.342,1,MODIS_AQUA
18.25,100.25,2023-01-04,24.1,-0.558,1,MODIS_AQUA
18.25,100.5,2023-01-04,24.47,-0.189,1,MODIS_AQUA
18.5,99.75,2023-01-04,24.15,-0.439,2,MODIS_AQUA
18.5,100.0,2023-01-04,24.63,0.041,2,MODIS_AQUA
17.75,100.5,2023-01-05,25.37,0.544,1,MODIS_AQUA
18.0,100.25,2023-01-05,24.0,-0.748,2,MODIS_AQUA
18.0,100.5,2023-01-05,24.08,-0.666,1,MODIS_AQUA
18.25,99.5,2023-01-05,24.86,0.186,1,MODIS_AQUA
18.25,99.75,2023-01-05,24.22,-0.452,2,MODIS_AQUA
18.25,100.0,2023-01-05,24.15,-0.519,1,MODIS_AQUA
18.25,100.25,2023-01-05,24.44,-0.234,2,MODIS_AQUA
18.5,100.0,2023-01-05,24.75,0.156,1,MODIS_AQUA
18.5,100.25,2023-01-05,24.71,0.109,1,MODIS_AQUA
17.75,100.25,2023-01-06,24.08,-0.759,1,MODIS_AQUA
18.0,100.25,2023-01-06,24.46,-0.296,1,MODIS_AQUA
18.0,100.5,2023-01-06,24.68,-0.08,1,MODIS_AQUA
18.0,100.75,2023-01-06,24.99,0.23,2,MODIS_AQUA
18.25,100.75,2023-01-06,25.07,0.388,1,MODIS_AQUA
18.25,101.0,2023-01-06,24.65,-0.038,2,MODIS_AQUA
18.25,99.75,2023-01-07,24.06,-0.639,1,MODIS_AQUA
18.25,100.0,2023-01-07,24.39,-0.309,1,MODIS_AQUA
18.25,100.5,2023-01-07,24.53,-0.16,1,MODIS_AQUA
18.5,99.5,2023-01-07,24.39,-0.233,1,MODIS_AQUA
18.5,100.25,2023-01-07,24.23,-0.386,1,MODIS_AQUA
18.5,100.5,2023-01-07,24.64,0.024,1,MODIS_AQUA
18.75,100.25,2023-01-07,25.16,0.617,1,MODIS_AQUA
18.75,100.75,2023-01-07,24.67,0.129,1,MODIS_AQUA
19.0,100.25,2023-01-07,24.43,-0.042,1,MODIS_AQUA
19.0,100.75,2023-01-07,23.85,-0.621,1,MODIS_AQUA
0.0,96.0,2023-01-08,23.55,-0.634,1,MODIS_AQUA
0.0,102.0,2023-01-08,24.64,0.462,1,MODIS_AQUA
0.0,112.0,2023-01-08,23.3,-0.883,1,MODIS_AQUA
0.0,117.0,2023-01-08,24.12,-0.065,1,MODIS_AQUA
1.0,114.0,2023-01-08,24.42,-0.06,1,MODIS_AQUA
2.0,100.0,2023-01-08,24.43,-0.355,1,MODIS_AQUA
2.0,108.0,2023-01-08,24.51,-0.269,2,MODIS_AQUA
2.0,120.0,2023-01-08,24.77,-0.014,1,MODIS_AQUA
4.0,108.0,2023-01-08,25.19,-0.195,2,MODIS_AQUA
4.0,110.0,2023-01-08,24.89,-0.488,1,MODIS_AQUA
5.0,100.0,2023-01-08,26.23,0.547,2,MODIS_AQUA
6.0,105.0,2023-01-08,25.92,-0.064,1,MODIS_AQUA
6.0,108.0,2023-01-08,25.71,-0.272,1,MODIS_AQUA
6.0,121.0,2023-01-08,26.37,0.392,1,MODIS_AQUA
7.0,104.0,2023-01-08,26.0,-0.277,1,MODIS_AQUA
8.0,115.0,2023-01-08,25.88,-0.703,2,MODIS_AQUA
9.0,96.0,2023-01-08,26.85,-0.028,2,MODIS_AQUA
10.0,95.0,2023-01-08,27.65,0.474,1,MODIS_AQUA
11.0,98.0,2023-01-08,27.15,0.268,1,MODIS_AQUA
11.0,120.0,2023-01-08,26.68,-0.199,1,MODIS_AQUA
12.0,116.0,2023-01-08,25.87,-0.711,1,MODIS_AQUA
12.0,119.0,2023-01-08,25.95,-0.635,1,MODIS_AQUA
13.0,111.0,2023-01-08,25.96,-0.317,1,MODIS_AQUA
13.0,117.0,2023-01-08,26.58,0.298,1,MODIS_AQUA
14.0,100.0,2023-01-08,25.32,-0.66,2,MODIS_AQUA
14.0,103.0,2023-01-08,26.26,0.279,1,MODIS_AQUA
15.0,115.0,2023-01-08,24.94,-0.74,1,MODIS_AQUA
15.0,121.0,2023-01-08,25.61,-0.072,1,MODIS_AQUA
16.0,104.0,2023-01-08,24.99,-0.386,1,MODIS_AQUA
16.0,109.0,2023-01-08,25.12,-0.261,1,MODIS_AQUA
17.0,96.0,2023-01-08,25.12,0.044,1,MODIS_AQUA
17.0,103.0,2023-01-08,24.71,-0.373,1,MODIS_AQUA
17.0,107.0,2023-01-08,24.68,-0.399,1,MODIS_AQUA
17.0,110.0,2023-01-08,24.49,-0.591,1,MODIS_AQUA
18.0,100.0,2023-01-08,24.79,0.01,1,MODIS_AQUA
18.0,120.0,2023-01-08,24.89,0.106,1,MODIS_AQUA
18.25,99.75,2023-01-08,24.34,-0.37,1,MODIS_AQUA
18.25,100.0,2023-01-08,23.69,-1.015,1,MODIS_AQUA
18.25,100.25,2023-01-08,24.27,-0.431,1,MODIS_AQUA
18.5,99.75,2023-01-08,24.58,-0.056,2,MODIS_AQUA
18.5,100.0,2023-01-08,24.5,-0.129,1,MODIS_AQUA
18.5,100.5,2023-01-08,23.42,-1.215,2,MODIS_AQUA
18.75,99.5,2023-01-08,24.4,-0.159,1,MODIS_AQUA
18.75,100.0,2023-01-08,24.59,0.036,1,MODIS_AQUA
18.75,100.25,2023-01-08,24.18,-0.378,1,MODIS_AQUA
19.0,102.0,2023-01-08,24.33,-0.152,1,MODIS_AQUA
19.0,104.0,2023-01-08,23.91,-0.569,2,MODIS_AQUA
19.0,108.0,2023-01-08,24.4,-0.078,1,MODIS_AQUA
19.0,111.0,2023-01-08,24.12,-0.359,1,MODIS_AQUA
20.0,115.0,2023-01-08,23.63,-0.555,2,MODIS_AQUA
20.0,118.0,2023-01-08,24.03,-0.146,1,MODIS_AQUA
21.0,105.0,2023-01-08,23.78,-0.097,2,MODIS_AQUA
21.0,114.0,2023-01-08,23.15,-0.729,1,MODIS_AQUA
21.0,116.0,2023-01-08,22.89,-0.989,1,MODIS_AQUA
18.0,101.25,2023-01-09,24.43,-0.358,1,MODIS_AQUA
18.25,100.25,2023-01-09,24.68,-0.042,1,MODIS_AQUA
18.25,100.5,2023-01-09,24.01,-0.712,2,MODIS_AQUA
18.25,101.0,2023-01-09,25.1,0.379,1,MODIS_AQUA
18.5,100.25,2023-01-09,24.26,-0.384,2,MODIS_AQUA
18.5,100.75,2023-01-09,24.67,0.031,2,MODIS_AQUA
9.0,105.75,2023-01-10,26.06,-0.845,2,MODIS_AQUA
9.0,106.0,2023-01-10,26.18,-0.727,1,MODIS_AQUA
9.0,106.25,2023-01-10,26.09,-0.816,2,MODIS_AQUA
9.25,106.0,2023-01-10,27.11,0.132,1,MODIS_AQUA
9.25,106.25,2023-01-10,26.76,-0.223,1,MODIS_AQUA
9.5,106.25,2023-01-10,26.5,-0.556,1,MODIS_AQUA
18.0,101.0,2023-01-10,24.98,0.175,1,MODIS_AQUA
18.0,101.25,2023-01-10,24.13,-0.669,1,MODIS_AQUA
18.25,101.25,2023-01-10,24.24,-0.49,1,MODIS_AQUA
18.25,101.5,2023-01-10,24.72,-0.005,2,MODIS_AQUA
18.5,101.25,2023-01-10,23.94,-0.709,1,MODIS_AQUA
18.5,101.5,2023-01-10,24.58,-0.069,1,MODIS_AQUA
18.75,101.25,2023-01-10,24.24,-0.344,1,MODIS_AQUA
18.75,101.5,2023-01-10,24.17,-0.406,2,MODIS_AQUA
18.75,101.75,2023-01-10,23.98,-0.604,2,MODIS_AQUA
9.25,106.25,2023-01-11,26.7,-0.294,2,MODIS_AQUA
9.25,106.5,2023-01-11,26.14,-0.854,1,MODIS_AQUA
9.5,106.5,2023-01-11,26.62,-0.444,1,MODIS_AQUA
9.75,105.75,2023-01-11,26.41,-0.734,1,MODIS_AQUA
9.75,106.0,2023-01-11,27.73,0.586,1,MODIS_AQUA
9.75,106.25,2023-01-11,26.73,-0.41,1,MODIS_AQUA
18.5,101.25,2023-01-11,24.2,-0.466,1,MODIS_AQUA
18.75,101.0,2023-01-11,23.27,-1.316,1,MODIS_AQUA
18.75,101.5,2023-01-11,24.15,-0.445,2,MODIS_AQUA
18.75,101.75,2023-01-11,24.49,-0.101,1,MODIS_AQUA
19.0,101.0,2023-01-11,23.73,-0.789,2,MODIS_AQUA
19.0,101.5,2023-01-11,23.94,-0.572,1,MODIS_AQUA
19.25,101.25,2023-01-11,24.42,-0.022,2,MODIS_AQUA
19.5,101.25,2023-01-11,23.6,-0.762,1,MODIS_AQUA
19.5,101.5,2023-01-11,24.29,-0.078,1,MODIS_AQUA
8.75,104.75,2023-01-12,25.95,-0.904,1,MODIS_AQUA
9.0,104.5,2023-01-12,26.64,-0.285,1,MODIS_AQUA
