lat_grid,lon_grid,date,chlorophyll_mg_m3,ndci,cloud_cover_frac,pixel_valid,data_source
0.0,117.0,2023-01-01,1.9245,0.5875,0.42,1,MODIS_TERRA
1.0,99.0,2023-01-01,2.1635,0.6246,0.35,1,MODIS_TERRA
1.0,107.0,2023-01-01,1.4229,0.48,0.63,0,MODIS_TERRA
2.0,97.0,2023-01-01,1.8652,0.5772,0.19,1,MODIS_TERRA
2.0,98.0,2023-01-01,1.9879,0.5981,0.17,1,MODIS_TERRA
2.0,112.0,2023-01-01,1.2261,0.4207,0.43,1,MODIS_TERRA
3.0,114.0,2023-01-01,1.515,0.5037,0.58,0,MODIS_TERRA
3.0,117.0,2023-01-01,1.8414,0.5729,0.34,1,MODIS_TERRA
4.0,105.0,2023-01-01,1.6033,0.5246,0.17,1,MODIS_TERRA
4.0,107.0,2023-01-01,1.5606,0.5147,0.64,0,MODIS_TERRA
4.0,110.0,2023-01-01,1.4485,0.4868,0.36,1,MODIS_TERRA
5.0,97.0,2023-01-01,1.9491,0.5917,0.75,0,MODIS_TERRA
5.0,112.0,2023-01-01,1.6099,0.5261,0.46,1,MODIS_TERRA
6.0,111.0,2023-01-01,1.9613,0.5937,0.59,0,MODIS_TERRA
6.0,114.0,2023-01-01,1.7409,0.5538,0.54,0,MODIS_TERRA
6.0,121.0,2023-01-01,2.1556,0.6234,0.41,1,MODIS_TERRA
7.0,115.0,2023-01-01,1.8582,0.576,0.17,1,MODIS_TERRA
7.0,120.0,2023-01-01,2.2704,0.639,0.63,0,MODIS_TERRA
8.0,106.0,2023-01-01,2.143,0.6216,0.66,0,MODIS_TERRA
8.0,111.0,2023-01-01,2.0338,0.6053,0.68,0,MODIS_TERRA
8.0,118.0,2023-01-01,2.137,0.6208,0.46,1,MODIS_TERRA
9.0,106.0,2023-01-01,2.1585,0.6239,0.66,0,MODIS_TERRA
10.0,99.0,2023-01-01,2.4246,0.6581,0.27,1,MODIS_TERRA
10.0,114.0,2023-01-01,2.283,0.6407,0.78,0,MODIS_TERRA
10.0,115.0,2023-01-01,2.2874,0.6412,0.59,0,MODIS_TERRA
11.0,114.0,2023-01-01,2.1665,0.625,0.66,0,MODIS_TERRA
11.0,119.0,2023-01-01,2.2091,0.6309,0.02,1,MODIS_TERRA
12.0,95.0,2023-01-01,2.0156,0.6025,0.24,1,MODIS_TERRA
12.0,104.0,2023-01-01,2.0843,0.6131,0.23,1,MODIS_TERRA
13.0,115.0,2023-01-01,1.856,0.5755,0.72,0,MODIS_TERRA
13.0,119.0,2023-01-01,2.2097,0.631,0.41,1,MODIS_TERRA
14.0,96.0,2023-01-01,1.9325,0.5889,0.03,1,MODIS_TERRA
14.0,97.0,2023-01-01,1.8997,0.5833,0.18,1,MODIS_TERRA
14.0,117.0,2023-01-01,1.9204,0.5868,0.02,1,MODIS_TERRA
14.0,121.0,2023-01-01,2.196,0.6291,0.39,1,MODIS_TERRA
15.0,118.0,2023-01-01,2.1396,0.6212,0.26,1,MODIS_TERRA
16.0,97.0,2023-01-01,1.8836,0.5805,0.61,0,MODIS_TERRA
16.0,107.0,2023-01-01,1.4816,0.4954,0.54,0,MODIS_TERRA
18.0,95.0,2023-01-01,1.6215,0.5286,0.35,1,MODIS_TERRA
18.0,97.0,2023-01-01,2.1736,0.626,0.29,1,MODIS_TERRA
18.0,105.0,2023-01-01,1.6275,0.53,0.36,1,MODIS_TERRA
18.0,109.0,2023-01-01,1.1456,0.3923,0.74,0,MODIS_TERRA
18.0,111.0,2023-01-01,1.2302,0.422,0.55,0,MODIS_TERRA
19.0,96.0,2023-01-01,1.7291,0.5514,0.65,0,MODIS_TERRA
19.0,104.0,2023-01-01,1.7955,0.5644,0.04,1,MODIS_TERRA
19.0,111.0,2023-01-01,0.992,0.3298,0.58,0,MODIS_TERRA
20.0,111.0,2023-01-01,1.079,0.3667,0.57,0,MODIS_TERRA
17.75,100.5,2023-01-03,2.2697,0.6389,0.74,0,MODIS_TERRA
17.75,100.75,2023-01-03,2.2248,0.633,0.31,1,MODIS_TERRA
18.0,100.5,2023-01-03,2.4751,0.6639,0.06,1,MODIS_TERRA
18.0,100.75,2023-01-03,2.2081,0.6307,0.55,0,MODIS_TERRA
18.0,101.0,2023-01-03,2.2856,0.641,0.25,1,MODIS_TERRA
18.0,101.25,2023-01-03,2.1601,0.6241,0.54,0,MODIS_TERRA
18.25,100.25,2023-01-03,2.3503,0.6492,0.46,1,MODIS_TERRA
18.25,100.5,2023-01-03,2.4756,0.6639,0.31,1,MODIS_TERRA
18.25,100.75,2023-01-03,2.4051,0.6558,0.45,1,MODIS_TERRA
18.25,101.0,2023-01-03,2.1961,0.6291,0.33,1,MODIS_TERRA
17.5,100.25,2023-01-04,2.3135,0.6446,0.15,1,MODIS_TERRA
18.0,100.25,2023-01-04,2.6306,0.6806,0.69,0,MODIS_TERRA
18.0,100.5,2023-01-04,2.3166,0.645,0.3,1,MODIS_TERRA
18.25,99.75,2023-01-04,2.3787,0.6526,0.54,0,MODIS_TERRA
18.25,100.0,2023-01-04,2.4401,0.6599,0.17,1,MODIS_TERRA
18.25,100.25,2023-01-04,2.5358,0.6706,0.78,0,MODIS_TERRA
18.25,100.5,2023-01-04,2.2777,0.64,0.21,1,MODIS_TERRA
18.5,99.75,2023-01-04,2.4269,0.6583,0.69,0,MODIS_TERRA
18.5,100.0,2023-01-04,2.3204,0.6454,0.34,1,MODIS_TERRA
17.75,100.5,2023-01-05,2.5388,0.6709,0.3,1,MODIS_TERRA
18.0,100.25,2023-01-05,2.5313,0.6701,0.78,0,MODIS_TERRA
18.0,100.5,2023-01-05,2.4043,0.6557,0.66,0,MODIS_TERRA
18.25,99.5,2023-01-05,2.2755,0.6397,0.72,0,MODIS_TERRA
18.25,99.75,2023-01-05,2.3121,0.6444,0.76,0,MODIS_TERRA
18.25,100.0,2023-01-05,2.6014,0.6776,0.1,1,MODIS_TERRA
18.25,100.25,2023-01-05,2.3326,0.647,0.44,1,MODIS_TERRA
18.5,100.0,2023-01-05,2.3408,0.648,0.48,1,MODIS_TERRA
18.5,100.25,2023-01-05,2.2918,0.6418,0.73,0,MODIS_TERRA
17.75,100.25,2023-01-06,2.3363,0.6474,0.62,0,MODIS_TERRA
18.0,100.25,2023-01-06,2.3371,0.6475,0.45,1,MODIS_TERRA
18.0,100.5,2023-01-06,2.3026,0.6432,0.41,1,MODIS_TERRA
18.0,100.75,2023-01-06,2.2414,0.6352,0.14,1,MODIS_TERRA
18.25,100.75,2023-01-06,2.2273,0.6333,0.48,1,MODIS_TERRA
18.25,101.0,2023-01-06,2.2193,0.6323,0.79,0,MODIS_TERRA
18.25,99.75,2023-01-07,2.3243,0.6459,0.29,1,MODIS_TERRA
18.25,100.0,2023-01-07,2.7158,0.689,0.44,1,MODIS_TERRA
18.25,100.5,2023-01-07,2.4106,0.6564,0.57,0,MODIS_TERRA
18.5,99.5,2023-01-07,2.277,0.6399,0.38,1,MODIS_TERRA
18.5,100.25,2023-01-07,2.3771,0.6524,0.73,0,MODIS_TERRA
18.5,100.5,2023-01-07,2.4895,0.6655,0.14,1,MODIS_TERRA
18.75,100.25,2023-01-07,2.5676,0.674,0.07,1,MODIS_TERRA
18.75,100.75,2023-01-07,2.423,0.6579,0.25,1,MODIS_TERRA
19.0,100.25,2023-01-07,2.3401,0.6479,0.13,1,MODIS_TERRA
19.0,100.75,2023-01-07,2.3513,0.6493,0.32,1,MODIS_TERRA
0.0,96.0,2023-01-08,1.9185,0.5865,0.78,0,MODIS_TERRA
0.0,102.0,2023-01-08,2.193,0.6287,0.03,1,MODIS_TERRA
